event,id,country,x,y,startDate,endDate
Zika first isolated,1,Uganda,0.122085,32.526194,1947,1948
Zika antibodies found in human,2,Uganda,0.05202,32.462158,1952,1952
Zika isolated from humans,3,Nigeria,6.517781,3.382572,1954,1954
Zika trasmission tested in laboratory setting,4,Nigeria,6.515072,3.372203,1956,1956
Zika contracted by researcher in 1964,5,,0.122085,32.526194,1960,1980
The first major Zika epidemic. Almost 75% of the Yap population was infected.,6,Yap Island,,,2007,2008
"In 2013, the second large Zika epidemic. Over 10% of the population infected. Zika then spread to surrounding islands.",7,,,,2012,2014
"The first indigenous cases of Zika are reported in Brazil. Estimated cases range from ~500,000 to ~1,500,000. There is a cocomitant increase in reported microcephaly cases and related deaths. Additional indigenous cases emerge in nearby countries. Zika outbreaks are classified as a global epidemic by the World Health Organization. Over 30 counties around the world report Zika spreading natively. Zika is brought to North America and Europe through travel. ",8,,,,2015,2015
"Zika continues to spread, especially in South America. The CDC declares a connection between microcephaly and Zika.",9,,,,2016,2016
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"[""Uganda"",""Central African Republic"",""Senegal"",""Pakistan"",""Burkina Faso"",""Cote D'Ivoire"",""Cameroon"",""Sierra Leone"",""Gabon"",""Indonesia"",""Malaysia"",""Costa Rica"",""Cambodia""]",,,,,,
,,,,,,
,,,,,,
"[""French Polynesia"",""Chile"",""Cook Islands"",""New Caledonia"",""Malaysia"",""Philippines"",""Indonesia"",""Thailand""]",,,,,,
,,,,,,
,,,,,,
"[""Brazil"",""Vanuatu"",""Fiji"",""Colombia"",""Cabo Verde"",""Samoa"",""Soloman Islands"",""El Salvador"",""Guatemala"",""Mexico"",""Paraguay"",""Suriname"",""Venezuela"",""French Guiana"",""Honduras"",""Martinique"",""Panama"",""Puerto Rico""]",,,,,,
,,,,,,
,,,,,,
,,,,,,
"[""Bolivia"",""United States Virgin Islands"",""Dominican Republic"",""Guadeloupe"",""Saint Martin"",""Nicaragua"",""Barbados"",""Maldives"",""Ecuador"",""Guyana"",""Jamaica"",""Curacao"",""Samoa"",""Haiti"",""Tonga""]",,,,,,
